ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage point change in DTV take-up: 2012 and 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage point change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS/ industry data/ Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,2012,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household ownership of high definition TV sets and HD TV services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011 FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q3a. Which of the following devices do you have in your home? Q3b. Which of the following services do you have in your home?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Take-up of HD TV,HD TV service,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,70%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,49%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,59%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,66%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,70%,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,38%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,77%,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,68%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,61%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of HD homes, by platform and country: 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of homes (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IHS/ industry data/ Ofcom. Note: figures are for HD-enabled homes, meaning homes having the technical means to view HD content and source of HD content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,Satellite,Cable,IPTV,DTT,Total,,,,,,,,,,,,,,,,,,,,,,,,
USA,22.95896256,32.6068661,8.448074042,12.66730232,76.68120502,,,,,,,,,,,,,,,,,,,,,,,,
"UK, FRA, GER, ITA",20.55483848,6.255774642,9.837675688,14.03419428,50.68248309,,,,,,,,,,,,,,,,,,,,,,,,
JPN,13.79630609,24.17466169,1.9720231,4.220421399,44.16341228,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household ownership of DVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011 FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q3a. Which of the following devices do you have in your home?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Claimed DVR take-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household ownership of smart TV sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011 FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q3a. Which of the following devices do you have in your home?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Smart TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal internet use on a Smart TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents with a Smart TV, UK=214, FRA=121, GER=258, ITA=256, USA=142, JPN=164, AUS=270, ESP=210, CHN=357. Q.4a(i) Which of the following comes closest to your use of the internet connection on your Smart TV? I have...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Connected and used the internet connection on the smart TV,Connected but never used the internet connection on the smart TV,Not connected or used the internet connection on the smart TV,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,
UK,84%,10%,6%,1%,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,65%,23%,12%,0%,,,,,,,,,,,,,,,,,,,,,,,,,
GER,71%,13%,13%,2%,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,84%,12%,4%,0%,,,,,,,,,,,,,,,,,,,,,,,,,
USA,70%,19%,10%,2%,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,56%,14%,27%,4%,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,71%,13%,13%,3%,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,79%,10%,9%,2%,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,77%,17%,5%,1%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household ownership of 3D-ready television sets and 3D TV television services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011 FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q3a. Which of the following devices do you have in your home?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3D-ready TV,3D TV service,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,9%,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,8%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,17%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,15%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,8%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,6%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,18%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,14%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,13%,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly access of TV content over the internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q.8 Which, if any, of the following activities do you use your internet connection for at least once a week?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ever accessed TV programmes or films/movies online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: all respondents - UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q.20 Have you ever accessed the following content online?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,TV programmes,Films/Movies,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,67%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,63%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,63%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,71%,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,56%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,51%,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,61%,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,70%,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,85%,91%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent use of free-to-access broadcaster catch-up TV services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All who had ever watched TV or films online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: all who had ever watched TV or films online (UK=704, France=689, Spain=822, Germany=707, Italy=828, USA=591, Japan=813, Australia=648, China=948) Q.21. When did you last use the following online services to watch TV programmes or films?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,
UK,48%,26%,17%,92%,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,36%,25%,20%,81%,,,,,,,,,,,,,,,,,,,,,,,,,
GER,16%,15%,14%,45%,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,31%,28%,18%,78%,,,,,,,,,,,,,,,,,,,,,,,,,
USA,26%,21%,22%,69%,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,15%,10%,8%,32%,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,34%,26%,21%,80%,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,19%,21%,16%,57%,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,53%,22%,11%,86%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent use of catch-up or on-demand services through a Pay-TV provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All who had ever watched TV or films online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: all who had ever watched TV or films online (UK=704, France=689, Spain=822, Germany=707, Italy=828, USA=591, Japan=813, Australia=648) Q.21. When did you last use the following online services to watch TV programmes or films?Note: China not asked this question.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,
UK,22%,13%,12%,47%,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,26%,17%,17%,59%,,,,,,,,,,,,,,,,,,,,,,,,,
GER,17%,14%,14%,46%,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,24%,23%,15%,62%,,,,,,,,,,,,,,,,,,,,,,,,,
USA,14%,16%,11%,42%,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,8%,6%,5%,19%,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,15%,13%,9%,37%,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,18%,16%,14%,47%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent use of non-broadcaster subscription video-on-demand services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All who had ever watched TV or films online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: all who had ever watched TV or films online (UK=704, France=689, Spain=822, Germany=707, Italy=828, USA=591, Japan=813, Australia=648, China=948) Q.21. When did you last use the following online services to watch TV programmes or films?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,
UK,22%,8%,12%,42%,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,11%,9%,6%,26%,,,,,,,,,,,,,,,,,,,,,,,,,
GER,10%,11%,10%,31%,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,11%,11%,9%,31%,,,,,,,,,,,,,,,,,,,,,,,,,
USA,38%,14%,11%,63%,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,11%,6%,5%,23%,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,9%,7%,11%,27%,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,8%,9%,12%,29%,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,51%,19%,11%,81%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recent use of download to rent/own services for TV and films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All who had ever watched TV or films online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: all who had ever watched TV or films online (UK=704, France=689, Spain=822, Germany=707, Italy=828, USA=591, Japan=813, Australia=648, China=948) Q.21. When did you last use the following online services to watch TV programmes or films?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,
UK,15%,15%,18%,48%,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,13%,14%,14%,41%,,,,,,,,,,,,,,,,,,,,,,,,,
GER,15%,14%,17%,47%,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,21%,21%,21%,64%,,,,,,,,,,,,,,,,,,,,,,,,,
USA,17%,14%,13%,44%,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,13%,10%,10%,33%,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,23%,19%,20%,62%,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,26%,26%,17%,69%,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,43%,21%,15%,78%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of AV content watched on a Smart TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Smart TV owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: all Smart TV owners – UK=117, France=50*, Germany=114, Italy=136, USA=71*, Japan=59*, Australia=129, Spain=104, China=178. *Caution: bases under 100. Q9c. What sorts of video content do you watch on each of your devices over the internet? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Live TV broadcast over the internet,35,48,46,51,51,36,35,50,63,,,,,,,,,,,,,,,,,,,,
Catch-up TV,77,66,16,62,52,29,55,26,66,,,,,,,,,,,,,,,,,,,,
Video-on-demand or internet streamed films,56,45,41,59,55,36,38,57,58,,,,,,,,,,,,,,,,,,,,
Short video clips (e.g. via YouTube),37,45,58,50,46,44,54,49,40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of AV content watched on a desktop/laptop/notebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All computer (Desktop/Laptop/Netbook) owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: All computer owners - UK=905, France=953, Germany=949, Italy=902, USA=907, Japan=934, Australia=944, Spain=903, China=947Q9c. What sorts of video content do you watch on each of your devices over the internet? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Live TV broadcast over the internet,24,26,28,41,17,17,18,36,67,,,,,,,,,,,,,,,,,,,,
Catch-up TV,42,43,8,47,25,16,36,12,61,,,,,,,,,,,,,,,,,,,,
Video-on-demand or internet streamed films,25,25,21,38,17,23,20,28,60,,,,,,,,,,,,,,,,,,,,
Short video clips (e.g. via YouTube),56,53,64,78,55,59,61,71,67,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of AV content watched on a tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All tablet owners (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014. Base: All tablet owners - UK=318, France=270, Germany=263, Italy=384, USA=274, Japan=209, Australia=325, Spain=394, China=446. Q9c. What sorts of video content do you watch on each of your devices over the internet? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Live TV broadcast over the internet,19,20,21,28,15,17,15,20,46,,,,,,,,,,,,,,,,,,,,
Catch-up TV,33,25,9,30,18,13,25,12,52,,,,,,,,,,,,,,,,,,,,
Video-on-demand or internet streamed films,22,18,18,27,16,29,20,17,48,,,,,,,,,,,,,,,,,,,,
Short video clips (e.g. via YouTube),47,46,62,73,48,63,60,61,69,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
